4/4 22:50:43.920  SPELL_CAST_SUCCESS,0x06800000002449E3,"Recall",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,589,"Shadow Word: Pain",0x20
4/4 22:50:43.920  SWING_DAMAGE,0xF140049ED40003C1,"Bheethun",0x1112,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1292,-1,1,0,0,0,nil,1,nil
4/4 22:50:43.920  SPELL_PERIODIC_ENERGIZE,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,89906,"Judgements of the Bold",0x2,586,0
4/4 22:50:43.996  SPELL_CAST_START,0x068000000020E48E,"Cursia",0x514,0x0,0x0000000000000000,nil,0x80000000,0x80000000,133,"Fireball",0x4
4/4 22:50:44.013  SPELL_PERIODIC_ENERGIZE,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,57669,"Replenishment",0x8,28,0
4/4 22:50:44.170  SWING_DAMAGE,0xF13007AC00022070,"Treant",0x1114,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1456,-1,1,0,0,0,nil,nil,nil
4/4 22:50:44.170  SPELL_CAST_START,0x068000000023AC05,"Delraius",0x512,0x0,0x0000000000000000,nil,0x80000000,0x80000000,30108,"Unstable Affliction",0x20
4/4 22:50:44.170  SPELL_CAST_SUCCESS,0x0680000000767E87,"Illiash",0x511,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,6572,"Revenge",0x1
4/4 22:50:44.170  SPELL_AURA_APPLIED,0x0680000000767E87,"Illiash",0x511,0x0,0x0680000000767E87,"Illiash",0x511,0x0,74243,"Windwalk",0x2,BUFF
4/4 22:50:44.170  SPELL_CAST_SUCCESS,0x0680000000A57395,"Miracelwip",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,8921,"Moonfire",0x40
4/4 22:50:44.188  SPELL_AURA_REMOVED,0x06800000007AD381,"Chimaîra",0x512,0x0,0x06800000007AD381,"Chimaîra",0x512,0x0,96266,"Strength of Soul",0x1,BUFF
4/4 22:50:44.215  SPELL_CAST_FAILED,0x0680000000767E87,"Illiash",0x511,0x0,0x0000000000000000,nil,0x80000000,0x80000000,6572,"Revenge",0x1,"Not yet recovered"
4/4 22:50:44.229  SPELL_CAST_SUCCESS,0xF140049ED40003C1,"Bheethun",0x1112,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,54049,"Shadow Bite",0x20
4/4 22:50:44.229  SPELL_AURA_APPLIED,0xF140771C500003C7,"WannWolf",0x1112,0x0,0xF140771C500003C7,"WannWolf",0x1112,0x0,53401,"Rabid",0x1,BUFF
4/4 22:50:44.229  SPELL_CAST_SUCCESS,0xF140771C500003C7,"WannWolf",0x1112,0x0,0x0000000000000000,nil,0x80000000,0x80000000,53401,"Rabid",0x1
4/4 22:50:44.229  SWING_DAMAGE,0xF140771C500003C7,"WannWolf",0x1112,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,1338,-1,1,0,0,0,nil,nil,nil
4/4 22:50:44.229  SPELL_CAST_SUCCESS,0xF140771C500003C7,"WannWolf",0x1112,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,17253,"Bite",0x1
4/4 22:50:44.229  SPELL_DAMAGE,0x06800000005A8C86,"Krümml",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,20424,"Seals of Command",0x2,906,-1,2,0,0,0,nil,nil,nil
